"song_title","register","year","points","peak_rank"
"You Belong To The City",5,1985,1442,2
"The Power Of Love",7,1985,1440,1
"Kyrie",8,1985,1439,1
"St. Elmo's Fire (Man In Motion)",8,1985,1434,1
"Rhythm Of The Night",7,1985,1432,3
"Everything She Wants",8,1985,1419,1
"Can't Fight This Feeling",8,1985,1410,1
"Nightshift",7,1985,1405,3
"Oh Sheila",6,1985,1403,1
"The Search Is Over",8,1985,1402,4
"Heaven",6,1985,1394,1
"Suddenly",7,1985,1389,4
"Sara",7,1985,1389,1
"The Sweetest Taboo",6,1985,1383,5
"Never Surrender",7,1985,1382,3
"Shout",7,1985,1370,1
"Raspberry Beret",6,1985,1359,2
"Be Near Me",5,1985,1316,9
"If You Love Somebody Set Them Free",8,1985,1310,3
"One More Night",7,1985,1304,1
"Don't Lose My Number",8,1985,1300,4
"Small Town",7,1985,1296,6
"Head Over Heels",8,1985,1294,3
"A View To A Kill",8,1985,1285,1
"Sussudio",8,1985,1281,1
"I'm Your Man",7,1985,1271,3
"Life In A Northern Town",5,1985,1261,7
"Glory Days",6,1985,1258,5
"Living In America",9,1985,1258,4
"Who's Holding Donna Now",9,1985,1227,6
"You Are My Lady",8,1985,1222,12
"Freedom",8,1985,1215,3
"Sleeping Bag",7,1985,1215,8
"I'm On Fire",5,1985,1207,6
"Fresh",7,1985,1203,9
"Tonight She Comes",5,1985,1203,7
"Summer Of '69",6,1985,1198,5
"Some Like It Hot",7,1985,1185,6
"Lonely Ol' Night",7,1985,1182,6
"Lovin' Every Minute Of It",9,1985,1182,9
"Spies Like Us",7,1985,1177,7
"Fortress Around Your Heart",7,1985,1174,8
"Too Late For Goodbyes",8,1985,1172,5
"Election Day",6,1985,1169,6
"All She Wants to Do Is Dance",9,1985,1153,9
"Dare Me",7,1985,1148,11
"Smuggler's Blues",6,1985,1147,12
"Sentimental Street",8,1985,1125,8
"High On You",8,1985,1097,8
"People Are People",6,1985,1092,13
"And We Danced",7,1985,1091,21
"California Girls",6,1985,1069,3
"You Spin Me Round (Like A Record)",7,1985,1066,11
"Somebody",6,1985,1058,11
"Beat's So Lonely",7,1985,1052,17
"Goodbye",7,1985,1044,17
"You're Only Human (Second Wind)",8,1985,1043,9
"Just A Gigolo/I Ain't Got Nobody",5,1985,1029,12
"Only The Young",8,1985,1018,9
"Pop Life",7,1985,997,7
"Cry",7,1985,988,16
"Never Ending Story",8,1985,976,17
"Keeping The Faith",5,1985,969,18
"Along Comes A Woman",7,1985,967,14
"Rock Me Tonight",8,1985,955,18
"Emergency",8,1985,951,18
"One Night Love Affair",7,1985,950,13
"Don't Come Around Here No More",6,1985,940,13
"The Sun Always Shines on T.V.",7,1985,934,20
"Day By Day",7,1985,934,18
"Just Another Night",5,1985,926,12
"That Was Yesterday",9,1985,911,12
"Smokin' In The Boys Room",7,1985,906,16
"I'm Gonna Tear Your Playhouse Down",7,1985,906,13
"One Lonely Night",8,1985,903,19
"I Wonder If I Take You Home",7,1985,891,34
"Just As I Am",7,1985,884,19
"I'm Goin' Down",5,1985,876,9
"Digital Display",6,1985,864,21
"Life In One Day",7,1985,862,19
"Love Is The Seventh Wave",7,1985,857,17
"Face The Face",8,1985,845,26
"Save A Prayer",5,1985,832,16
"Mystery Lady",8,1985,828,24
"State Of the Heart",7,1985,815,22
"Sunset Grill",9,1985,807,22
"So In Love",5,1985,802,26
"Home Sweet Home",8,1985,782,37
"Everything In My Heart",7,1985,761,30
"To Live And Die In L.A.",5,1985,746,41
"Four In The Morning (I Can't Take Anymore)",8,1985,745,19
"Say You're Wrong",7,1985,723,21
"'Til My Baby Comes Home",7,1985,721,29
"Why Can't I Have You",5,1985,717,33
"Not Enough Love In The World",8,1985,714,34
"Forever",9,1985,709,40
"Radioactive",7,1985,706,28
"He'll Never Love You (Like I Do)",6,1985,694,25
"Rock And Roll Girls",7,1985,692,20
"Take Me With U",6,1985,691,25
"Getcha Back",5,1985,676,26
"Every Step Of The Way",8,1985,674,25
"Boy In The Box",8,1985,661,26
"Forever Man",7,1985,654,26
"When Your Heart Is Weak",6,1985,646,35
"Lost In Love",10,1985,613,35
"This Is Not America",6,1985,612,32
"Cannonball",4,1985,612,28
"Rockin' At Midnight",7,1985,608,25
"We Close Our Eyes",7,1985,600,41
"Celebrate Youth",8,1985,598,26
"Black Cars",5,1985,588,42
"Tonight It's You",7,1985,586,44
"The Bird",8,1985,586,36
"Possession Obsession",7,1985,585,30
"No Lookin' Back",7,1985,578,34
"Lucky",6,1985,573,30
"Girls Are More Fun",5,1985,569,34
"Vox Humana",7,1985,564,29
"Little By Little",6,1985,537,36
"Live Every Moment",6,1985,529,34
"I Wanna Hear It From Your Lips",8,1985,511,35
"Count Me Out",7,1985,509,51
"The Big Money",8,1985,500,45
"Communication",7,1985,489,34
"Centerfield",8,1985,478,44
"Lucky In Love",7,1985,474,38
"The Night Is Still Young",8,1985,463,34
"And She Was",7,1985,446,54
"Lay It Down",8,1985,431,40
"Stand By Me",6,1985,427,50
"Tears Are Falling",9,1985,410,51
"Call Me",7,1985,380,54
"Forever Young",8,1985,372,65
"People Get Ready",8,1985,371,48
"Walking On The Chinese Wall",8,1985,369,46
"Weird Science",8,1985,367,45
"Everything Must Change",7,1985,365,56
"Animal Instinct",6,1985,356,43
"Leader Of The Pack",8,1985,343,53
"Secret",4,1985,332,63
"Like To Get To Know You Well",8,1985,327,49
"Everyday",7,1985,326,61
"The Oak Tree",5,1985,323,65
"All You Zombies",7,1985,295,58
"Be Your Man",7,1985,295,61
"Change",6,1985,294,54
"Summertime Girls",8,1985,294,55
"First Night",8,1985,292,53
"Hold Me",5,1985,290,62
"Can't Stop",8,1985,290,50
"Like A Surgeon",6,1985,285,47
"Let's Talk About Me",7,1985,280,56
"Reaction To Action",10,1985,274,54
"Alone Again",7,1985,268,64
"Down On Love",10,1985,267,54
"Playing To Win",8,1985,250,60
"Only Lonely",9,1985,239,54
"Restless Heart",7,1985,224,59
"Dangerous",7,1985,208,65
"Willie & The Hand Jive",5,1985,205,63
"Knocking At Your Back Door",8,1985,204,61
"Jesse",7,1985,204,54
"Morning Desire",5,1985,196,72
"Dancin' In The Key Of Life",7,1985,152,68
"Kayleigh",7,1985,148,74
"I Want My Girl",8,1985,133,76
"Eye To Eye",8,1985,127,73
"Test Of Time",6,1985,126,71
"In And Out Of Love",10,1985,124,69
"The Lady Of My Heart",8,1985,124,76
"The Heart Is Not So Smart",7,1985,121,75
"Go For Soda",7,1985,113,86
"Power Of Love (You Are My Lady)",8,1985,107,68
"Crazy",6,1985,102,79
"Days Are Numbers (The Traveller)",8,1985,95,71
"Satisfaction Guaranteed",7,1985,95,73
"This Time",6,1985,94,81
"Gotta Get You Home Tonight",7,1985,93,83
"Will The Wolf Survive",7,1985,83,78
"Discipline Of Love",6,1985,66,82
"Welcome To Paradise",8,1985,54,85
"You Send Me",7,1985,54,81
"Go Down Easy",4,1985,47,85
"Back In Stride",7,1985,46,88
"Freak-A-Ristic",7,1985,40,90
"Imagination",6,1985,40,88
"Janet",5,1985,39,87
"If I Had A Rocket Launcher",6,1985,28,88
"Piece By Piece",8,1985,25,87
"Follow Your Heart",7,1985,25,88
"See What Love Can Do",7,1985,23,89
"I'll Be There",9,1985,23,88
"High School Nights",6,1985,20,91
"You're In Love",7,1985,20,89
"Shake You Down",9,1986,1591,1
"Something About You",6,1986,1572,7
"You Give Love A Bad Name",8,1986,1561,1
"Livin' On A Prayer",9,1986,1512,1
"Kiss",10,1986,1509,1
"Addicted To Love",6,1986,1508,1
"Everybody Have Fun Tonight",7,1986,1494,2
"Don't Forget Me (When I'm Gone)",7,1986,1486,2
"Higher Love",8,1986,1475,1
"There'll Be Sad Songs (To Make You Cry)",8,1986,1455,1
"Holding Back The Years",6,1986,1455,1
"At This Moment",6,1986,1453,1
"Human",4,1986,1451,1
"Will You Still Love Me?",8,1986,1443,3
"Land Of Confusion",8,1986,1438,4
"West End Girls",6,1986,1434,1
"Sledgehammer",8,1986,1424,1
"No One Is To Blame",7,1986,1398,4
"Word Up",5,1986,1396,6
"I Didn't Mean To Turn You On",4,1986,1393,2
"Take Me Home Tonight",7,1986,1391,4
"Big Time",7,1986,1381,8
"Keep Your Hands To Yourself",6,1986,1374,2
"Danger Zone",8,1986,1373,2
"Your Love",8,1986,1365,6
"What You Need",8,1986,1350,5
"Someday",8,1986,1339,7
"Stuck With You",6,1986,1339,1
"If You Leave",5,1986,1338,4
"Dancing On The Ceiling",7,1986,1317,2
"Sweet Freedom (Theme From ""Running Scared"")",8,1986,1300,7
"Notorious",7,1986,1299,2
"Is This Love",6,1986,1295,9
"To Be A Lover",4,1986,1284,6
"I'll Be Over You",6,1986,1272,11
"You Can Call Me Al",6,1986,1271,23
"Rock Me Amadeus",5,1986,1266,1
"All I Need Is A Miracle",5,1986,1261,5
"Rumors",6,1986,1247,8
"Amanda",9,1986,1241,1
"Invisible Touch",7,1986,1210,1
"R.O.C.K. In The U.S.A. (A Salute to 60's Rock)",8,1986,1208,2
"Your Wildest Dreams",7,1986,1207,9
"Love Touch (Theme From ""Legal Eagles"")",7,1986,1201,6
"Why Can't This Be Love",8,1986,1200,3
"Hip To Be Square",7,1986,1189,3
"Nikita",4,1986,1184,7
"Love You Down",5,1986,1172,9
"Love Will Conquer All",6,1986,1171,9
"I'll Be Alright Without You",8,1986,1167,14
"Ballerina Girl",6,1986,1154,7
"Throwing It All Away",7,1986,1150,4
"You Should Be Mine (The Woo Woo Song)",5,1986,1142,13
"Take Me Home",8,1986,1141,7
"Talk To Me",6,1986,1137,21
"Stop To Love",7,1986,1134,15
"Tender Love",9,1986,1124,10
"Nobody's Fool",10,1986,1122,13
"A Matter Of Trust",7,1986,1110,10
"Brand New Lover",5,1986,1104,15
"Is It Love",7,1986,1096,8
"Tuff Enuff",6,1986,1094,10
"This Could Be The Night",6,1986,1092,10
"I Wanna Go Back",6,1986,1085,14
"I Wanna Be A Cowboy",4,1986,1082,12
"The Rain",7,1986,1080,9
"A Different Corner",6,1986,1063,7
"Heaven In Your Eyes",7,1986,1062,12
"Digging Your Scene",8,1986,1043,14
"You Know I Love You ... Don't You?",8,1986,1005,17
"All I Wanted",8,1986,991,19
"We're Ready",8,1986,990,9
"When The Heart Rules The Mind",5,1986,984,14
"Harlem Shuffle",7,1986,976,5
"Opportunities (Let's Make Lots Of Money)",7,1986,975,10
"This Is The Time",6,1986,961,18
"Wild Wild Life",7,1986,953,25
"Be Good To Yourself",8,1986,939,9
"Like No Other Night",7,1986,925,14
"Move Away",7,1986,909,12
"Modern Woman (From ""Ruthless People"")",6,1986,893,10
"Sanctify Yourself",5,1986,885,14
"The Future's So Bright, I Gotta Wear Shades",5,1986,883,19
"American Storm",8,1986,882,13
"I Think It's Love",7,1986,878,16
"Love Walks In",9,1986,875,22
"The Edge Of Heaven",8,1986,858,10
"(Forever) Live And Die",5,1986,855,19
"Like A Rock",8,1986,854,12
"Yankee Rose",9,1986,850,16
"Candy",7,1986,834,21
"Girl Can't Help It",8,1986,831,17
"No Easy Way Out",8,1986,821,22
"So Far Away",4,1986,805,19
"(How To Be A) Millionaire",6,1986,801,20
"Calling America",5,1986,771,18
"Russians",9,1986,766,16
"Suzanne",9,1986,758,17
"Money$ Too Tight (To Mention)",6,1986,756,28
"Secret Separation",7,1986,756,19
"I Am By Your Side",6,1986,749,18
"Dreams",10,1986,748,22
"Rough Boy",6,1986,747,22
"Earth Angel (From ""The Karate Kid Part II"")",5,1986,745,21
"Live Is Life",10,1986,745,32
"That Was Then, This Is Now",7,1986,738,20
"Freedom Overspill",6,1986,737,20
"Can't Help Falling In Love",8,1986,726,24
"Stages",8,1986,725,21
"Overjoyed",8,1986,675,24
"Rain On The Scarecrow",7,1986,662,21
"Somebody's Out There",9,1986,662,27
"Press",7,1986,658,21
"I Do What I Do... (Theme For 9 1/2 Weeks)",4,1986,645,23
"All The Things She Said",6,1986,641,28
"Mothers Talk",7,1986,630,27
"Rumbleseat",8,1986,623,28
"Bop",6,1986,612,42
"For America",7,1986,600,30
"Feel It Again",10,1986,599,34
"Welcome To The Boomtown",6,1986,598,37
"One Hit (To The Body)",7,1986,568,28
"Velcro Fly",7,1986,563,35
"I'm Not The One",6,1986,562,32
"Hyperactive",6,1986,545,33
"A Little Bit Of Love (Is All It Takes)",8,1986,536,38
"The Love Parade",5,1986,525,36
"What Does It Take",9,1986,515,52
"Tasty Love",7,1986,510,41
"Midas Touch",6,1986,502,42
"Where Do The Children Go",7,1986,500,38
"Right Between The Eyes",5,1986,484,43
"Goodbye Is Forever",7,1986,480,33
"The Finest",5,1986,468,44
"Pretty In Pink",5,1986,444,41
"Love Always",8,1986,439,43
"Somebody Like You",7,1986,428,48
"A Kind Of Magic",8,1986,422,42
"Lady Soul",7,1986,394,47
"With You All The Way",8,1986,354,51
"Wrap It Up",7,1986,348,50
"Give Me The Reason",8,1986,338,57
"Headed For The Future",7,1986,322,53
"I Must Be Dreaming",8,1986,320,52
"California Dreamin'",7,1986,314,57
"Girlfriend",8,1986,306,57
"Listen Like Thieves",7,1986,305,54
"Nothing In Common",5,1986,303,54
"I'd Do It All Again",7,1986,300,52
"Where Did Your Heart Go?",8,1986,298,50
"It's You",6,1986,285,52
"Playing With The Boys",8,1986,283,60
"Anotherloverholenyohead",5,1986,253,63
"Spirit In The Sky",5,1986,248,69
"The Other Side Of Life",7,1986,244,58
"Everytime You Cry",9,1986,238,66
"Some People",7,1986,231,65
"Love Comes Quickly",8,1986,215,62
"All The Kings Horses",7,1986,210,61
"Touch And Go",6,1986,203,60
"Suburbia",8,1986,203,70
"Shot in the Dark",7,1986,178,68
"Miami",7,1986,170,70
"Before I Go",7,1986,160,68
"Goin' Crazy!",8,1986,158,66
"School's Out",8,1986,150,67
"Lying",7,1986,150,74
"Lead A Double Life",4,1986,148,68
"One Way Love",7,1986,143,75
"In The Shape Of A Heart",5,1986,137,70
"Working Class Man",6,1986,134,74
"No Promises",5,1986,129,79
"A Good Heart",8,1986,115,74
"Heart's On Fire",7,1986,101,76
"Graceland",5,1986,101,81
"In My Dreams",8,1986,98,77
"Do You Remember Me?",6,1986,95,71
"Johnny Come Home",6,1986,85,76
"This Is The World Calling",4,1986,82,82
"Stranglehold",6,1986,68,81
"Love Is The Hero",9,1986,65,80
"Every Beat Of My Heart",7,1986,65,83
"Stereotomy",8,1986,57,82
"Just Another Day",6,1986,55,85
"I'm Your Man",6,1986,50,86
"That's Life",6,1986,46,85
"Hot Water",4,1986,40,87
"I Still Want You",4,1986,36,87
"Shelter Me",6,1986,35,91
"Vanity Kills",6,1986,33,91
"I'm For Real",8,1986,33,90
"Land Of La La",5,1986,33,86
"Love And Rock And Roll",5,1986,31,92
"Wood Beez (Pray Like Aretha Franklin)",7,1986,27,91
"I Wouldn't Lie",7,1986,21,93
"Fall On Me",6,1986,16,94
"Prove Me Wrong",7,1986,14,95
"In Between Days",6,1986,2,99
"Need You Tonight",5,1987,1730,1
"Here I Go Again",10,1987,1669,1
"Hungry Eyes (From ""Dirty Dancing"")",8,1987,1649,4
"The Lady In Red",6,1987,1617,3
"Don't Dream It's Over",8,1987,1607,2
"Never Gonna Give You Up",7,1987,1605,1
"Nothing's Gonna Stop Us Now",9,1987,1552,1
"Faith",7,1987,1541,1
"Got My Mind Set On You",8,1987,1540,1
"Mony Mony",8,1987,1458,1
"La Bamba",7,1987,1450,1
"Nothing's Gonna Change My Love For You",6,1987,1434,12
"She's Like The Wind",6,1987,1430,3
"I Want Your Sex (From ""Beverly Hills Cop II"")",6,1987,1415,2
"Don't Shed A Tear",6,1987,1414,9
"Rock Steady",7,1987,1401,7
"Should've Known Better",7,1987,1387,3
"Is This Love",6,1987,1382,2
"Shakedown (From ""Beverly Hills Cop II"")",7,1987,1373,1
"I Want To Be Your Man",10,1987,1357,3
"Candle In The Wind",5,1987,1355,6
"Looking For A New Love",5,1987,1355,2
"Meet Me Half Way",8,1987,1341,11
"(I Just) Died In Your Arms",8,1987,1331,1
"Don't Mean Nothing",8,1987,1328,3
"With or Without You",6,1987,1327,1
"The Finer Things",8,1987,1313,8
"Say You Will",9,1987,1297,6
"I Still Haven't Found What I'm Looking For",7,1987,1287,1
"In My Dreams",6,1987,1284,19
"The Way You Make Me Feel",10,1987,1272,1
"Something So Strong",6,1987,1256,7
"I've Been In Love Before",6,1987,1256,9
"Lean On Me",6,1987,1240,1
"Carrie",8,1987,1240,3
"That's What Love Is All About",10,1987,1240,19
"Just To See Her",8,1987,1234,8
"When Smokey Sings",6,1987,1225,5
"The One I Love",5,1987,1224,9
"Cherry Bomb",6,1987,1218,8
"Midnight Blue",10,1987,1216,5
"In Too Deep",7,1987,1208,3
"Wanted Dead Or Alive",8,1987,1174,7
"Right On Track",5,1987,1170,7
"Crazy",5,1987,1163,14
"Jacob's Ladder",6,1987,1125,1
"I Could Never Take The Place Of Your Man",6,1987,1123,10
"Let's Go!",8,1987,1121,9
"Back In The High Life Again",7,1987,1120,13
"One Heartbeat",7,1987,1110,10
"I Won't Forget You",6,1987,1097,13
"Pop Goes The World",3,1987,1094,20
"Heat Of The Night",6,1987,1081,6
"The Final Countdown",8,1987,1080,8
"Lessons In Love",7,1987,1080,12
"Doing It All For My Baby",7,1987,1075,6
"It's A Sin",7,1987,1075,9
"Everywhere",8,1987,1068,14
"Sign 'O' The Times",6,1987,1064,3
"If She Would Have Been Faithful. . .",9,1987,1047,17
"Tonight, Tonight, Tonight",7,1987,1047,3
"Stone Love",8,1987,1029,10
"Hourglass",8,1987,1028,15
"Tunnel Of Love",5,1987,1025,9
"Paper In Fire",6,1987,1020,9
"Bad",10,1987,1012,1
"Brilliant Disguise",6,1987,1010,5
"Animal",8,1987,993,19
"It's Not Over ('til It's Over)",8,1987,989,9
"Talk Dirty To Me",6,1987,982,9
"Girls, Girls, Girls",9,1987,970,12
"Touch Of Grey",6,1987,959,9
"Don't Make Me Wait For Love",6,1987,959,15
"Mary's Prayer",6,1987,952,23
"I Know What I Like",6,1987,944,9
"Endless Nights",7,1987,930,21
"Honestly",9,1987,916,23
"Love Power",8,1987,903,12
"True Faith",5,1987,890,32
"Skeletons",8,1987,874,19
"Give To Live",9,1987,872,23
"Where The Streets Have No Name",8,1987,869,13
"You Are The Girl",6,1987,859,17
"Happy",6,1987,820,20
"Living In A Box",5,1987,814,17
"I Do You",7,1987,814,20
"Just Like Heaven",5,1987,812,40
"The Honeythief",5,1987,799,19
"Silent Morning",9,1987,779,47
"Love Will Find A Way",10,1987,778,30
"That Ain't Love",5,1987,776,16
"Se La",8,1987,757,20
"Come On, Let's Go",6,1987,745,21
"Never Thought (That I Could Love)",7,1987,744,43
"Sweet Sixteen",4,1987,732,20
"Lies",8,1987,731,27
"I'll Still Be Loving You",7,1987,727,33
"Since You've Been Gone",9,1987,726,31
"Smoking Gun",7,1987,722,22
"Fake",8,1987,714,25
"Heartbreak Beat",5,1987,711,26
"Day-In Day-Out",8,1987,710,21
"I Don't Mind At All",5,1987,695,38
"Jammin' Me",7,1987,681,18
"Moonlighting (Theme)",5,1987,678,23
"Hearts On Fire",7,1987,676,26
"Can'tcha Say (You Believe In Me)/Still In Love",7,1987,656,20
"Ship Of Fools (Save Me From Tomorrow)",8,1987,650,27
"853-5937",7,1987,624,32
"Rock The Night",8,1987,600,30
"Jam Tonight",6,1987,586,32
"Never Let Me Down",7,1987,585,27
"Something Real (Inside Me/Inside You)",7,1987,579,29
"Get That Love",7,1987,570,31
"Victim Of Love",7,1987,569,32
"Notorious",8,1987,544,38
"Hypnotize Me (From ""Innerspace"")",8,1987,512,36
"One For The Mockingbird",7,1987,507,38
"I Will Be There",7,1987,499,34
"Rhythm Of Love",10,1987,483,40
"Good Times (From ""The Lost Boys"")",8,1987,476,47
"Misfit",5,1987,472,42
"In God's Country",7,1987,469,44
"Hot Hot Hot",7,1987,448,45
"Don't Need A Gun",5,1987,447,37
"Strangelove",4,1987,416,50
"Skin Trade",7,1987,404,39
"There's Nothing Better Than Love",7,1987,392,50
"Winner Takes It All",9,1987,381,54
"Why Can't I Be You?",8,1987,376,54
"Let's Work",7,1987,372,39
"Beat Patrol",8,1987,370,46
"I Got The Feelin' (It's Over)",9,1987,361,56
"System Of Survival",6,1987,336,60
"Ready Or Not",10,1987,335,54
"Rock Me",9,1987,316,60
"Fire",5,1987,315,46
"Ain't So Easy",7,1987,310,51
"I Want Action",6,1987,306,50
"Johnny B",7,1987,304,61
"Why Can't This Night Go On Forever",8,1987,300,60
"I'm No Angel",7,1987,295,49
"Reason To Live",8,1987,279,64
"Back And Forth",8,1987,271,50
"Satellite",8,1987,250,61
"Variety Tonight",7,1987,245,60
"Never Let Me Down Again",4,1987,224,63
"Lonely Won't Leave Me Alone",7,1987,223,67
"Dance",9,1987,221,59
"The Secret Of My Success",8,1987,217,64
"Have You Ever Loved Somebody",7,1987,214,69
"Should I See",8,1987,213,69
"Throwaway",7,1987,196,67
"Under The Boardwalk",7,1987,184,59
"World Where You Live",7,1987,176,65
"Rain In The Summertime",6,1987,167,71
"If You Let Me Stay",9,1987,166,68
"Kiss You (When It's Dangerous)",8,1987,163,72
"Deep River Woman",6,1987,158,71
"Somebody Save Me",10,1987,157,66
"Learning To Fly",5,1987,155,70
"Cherokee",8,1987,154,72
"Burning Like A Flame",10,1987,152,72
"Eagles Fly",9,1987,148,82
"Love Is A House",9,1987,146,78
"Crazy Crazy Nights",8,1987,139,65
"You Win Again",6,1987,125,75
"Still Of The Night",10,1987,118,79
"Watching Over You",6,1987,112,80
"Meet El Presidente",7,1987,106,70
"Happy Together",7,1987,106,75
"You're All I Need",9,1987,91,83
"Stand Back",6,1987,76,76
"Right Next Door (Because Of Me)",5,1987,76,80
"Let's Dance",4,1987,69,81
"Women",7,1987,68,80
"Twistin' The Night Away (From ""Innerspace"")",8,1987,65,80
"Something In My House",5,1987,62,85
"Man Against The World",9,1987,53,86
"Running In The Family",4,1987,47,83
"Battleship Chains",7,1987,44,86
"Heart And Soul",8,1987,43,87
"Strap Me In",5,1987,41,85
"World Shut Your Mouth",8,1987,39,84
"The Boy In The Bubble",5,1987,39,86
"We Should Be Sleeping",7,1987,22,90
"Little Suzi",9,1987,21,91
"Hands To Heaven",5,1988,1744,2
"Wild, Wild West",7,1988,1695,1
"Waiting For A Star To Fall",8,1988,1691,5
"Look Away",7,1988,1684,1
"Kokomo (From""Cocktail"" )",8,1988,1663,1
"Wishing Well",8,1988,1662,1
"The Flame",9,1988,1635,1
"Angel",9,1988,1613,3
"My Prerogative",9,1988,1597,1
"Baby, I Love Your Way/Freebird Medley",6,1988,1583,1
"You Got It (The Right Stuff)",6,1988,1575,3
"Pour Some Sugar On Me",5,1988,1573,2
"Sweet Child O' Mine",10,1988,1562,1
"Groovy Kind Of Love",5,1988,1541,1
"Every Rose Has Its Thorn",6,1988,1523,1
"My Heart Can't Tell You No",9,1988,1521,4
"Hold On To The Nights",6,1988,1479,1
"Endless Summer Nights",7,1988,1436,2
"I Don't Wanna Live Without Your Love",6,1988,1433,3
"Simply Irresistible",7,1988,1428,2
"Make Me Lose Control",8,1988,1421,3
"Get Outta My Dreams, Get Into My Car",8,1988,1407,1
"Please Don't Go Girl",8,1988,1395,10
"Love Bites",8,1988,1384,1
"Bad Medicine",8,1988,1370,1
"Born To Be My Baby",5,1988,1368,3
"Sign Your Name",5,1988,1364,4
"Shattered Dreams",7,1988,1360,2
"Walk On Water",6,1988,1357,9
"Rocket 2 U",8,1988,1357,6
"Electric Blue",8,1988,1352,7
"Roll With It",8,1988,1349,1
"When The Children Cry",7,1988,1346,3
"One More Try",7,1988,1330,1
"If It Isn't Love",5,1988,1315,7
"I Don't Wanna Go On With You Like That",6,1988,1312,2
"I Remember Holding You",7,1988,1299,8
"Two Hearts",8,1988,1296,1
"I Want Her",4,1988,1290,5
"Man In The Mirror",10,1988,1280,1
"Nite And Day",9,1988,1278,7
"Forever Young",9,1988,1275,12
"Don't Know What You Got (Till It's Gone)",8,1988,1273,12
"Father Figure",6,1988,1267,1
"Never Tear Us Apart",7,1988,1266,7
"Together Forever",7,1988,1256,1
"Armageddon It",8,1988,1251,3
"Two Occasions",8,1988,1251,10
"Desire",7,1988,1243,3
"When It's Love",9,1988,1234,5
"One Good Woman",9,1988,1226,4
"Wait",7,1988,1226,8
"Devil Inside",5,1988,1223,2
"Just Got Paid",8,1988,1213,10
"Monkey",7,1988,1195,1
"I Don't Want Your Love",8,1988,1192,4
"New Sensation",7,1988,1188,3
"Don't Be Cruel",8,1988,1168,4
"Welcome To The Jungle",10,1988,1162,7
"Finish What Ya Started",10,1988,1150,13
"Don't You Know What The Night Can Do?",7,1988,1149,6
"Nothin' But A Good Time",8,1988,1142,6
"Perfect World",7,1988,1131,3
"I Don't Want To Live Without You",7,1988,1129,5
"She Wants To Dance With Me",5,1988,1127,6
"Walking Away",7,1988,1118,9
"Just Like Paradise",7,1988,1113,6
"The Valley Road",7,1988,1111,5
"Everything Your Heart Desires",7,1988,1104,3
"Dial My Heart",7,1988,1078,13
"Beds Are Burning",8,1988,1076,17
"Dirty Diana",9,1988,1070,1
"(Sittin' On) The Dock Of The Bay",10,1988,1058,11
"Smooth Criminal",10,1988,1058,7
"Holding On",8,1988,1044,11
"It Would Take A Strong Strong Man",7,1988,1043,10
"Always On My Mind",7,1988,1030,4
"Kissing A Fool",4,1988,1023,5
"Hysteria",7,1988,1019,10
"Here With Me",7,1988,1017,20
"I Beg Your Pardon",3,1988,1002,15
"A Little Respect",7,1988,995,14
"Lost In You",8,1988,988,12
"Spy In The House Of Love",5,1988,984,16
"Dreaming",7,1988,979,16
"Rag Doll",8,1988,959,17
"Fallen Angel",7,1988,951,12
"Check It Out",6,1988,938,14
"Pamela",7,1988,937,22
"True Love",8,1988,926,13
"Alphabet St.",6,1988,924,8
"You Don't Know",8,1988,919,20
"I Wish I Had A Girl",8,1988,910,20
"The Colour Of Love",7,1988,909,17
"One Step Up",7,1988,902,13
"Wild World",6,1988,894,25
"Early In The Morning",4,1988,879,19
"Angel Of Harlem",7,1988,873,14
"Be Still My Beating Heart",8,1988,869,15
"Tall Cool One",7,1988,849,25
"Another Part Of Me",9,1988,834,11
"Paradise",7,1988,828,16
"Love Changes (Everything)",8,1988,816,23
"Domino Dancing",7,1988,770,18
"Rock Of Life",9,1988,770,22
"Under The Milky Way",3,1988,708,24
"A Word In Spanish",7,1988,700,19
"Ghost Town",8,1988,656,33
"Shake For The Sheik",5,1988,656,28
"I Know You're Out There Somewhere",8,1988,650,30
"All She Wants Is",7,1988,645,22
"When We Was Fab",6,1988,617,23
"Heart Of Mine",6,1988,598,35
"Superstitious",9,1988,592,31
"Missed Opportunity",8,1988,560,29
"Da'Butt (From The ""School Daze"" Soundtrack)",6,1988,557,35
"Dance Little Sister",8,1988,535,30
"What A Wonderful World",5,1988,528,32
"Handle With Care",7,1988,525,45
"Look Out Any Window",8,1988,517,35
"Hippy Hippy Shake (From ""Cocktail"")",7,1988,512,45
"Tomorrow People",7,1988,486,39
"Black And Blue",9,1988,429,34
"Downtown Life",8,1988,426,31
"Give Me All Your Love",9,1988,418,48
"In Your Soul",7,1988,414,38
"Off On Your Own (Girl)",8,1988,411,45
"She's On The Left",6,1988,390,48
"Better Be Home Soon",7,1988,382,42
"Save Your Love",5,1988,355,57
"Boom! There She Was",7,1988,334,53
"The Dead Heart",6,1988,333,53
"Talking Back To The Night",5,1988,327,57
"Little Walter",8,1988,325,47
"Tell Me",7,1988,325,58
"It's Money That Matters",4,1988,318,60
"Nice 'N' Slow",7,1988,300,61
"Heart Turns To Stone",9,1988,271,56
"The Great Commandment",4,1988,269,59
"Didn't Know It Was Love",8,1988,261,61
"Best Of Times",9,1988,245,59
"Nobody's Perfect",7,1988,242,63
